run_id,definition_id,def_number,user_item,definition_sentence,metric,metric_code,metric_col,metric_label,percentile,comparison_op,min_duration,window_key,window_type,window_label,window_half,window_collar,window_order,baseline,season,absolute_floor,artifact_handling,analysis_years,status,last_run_utc,runtime_seconds,output_dir
TMAX_P95_2D__w05,TMAX_P95_2D,7,5,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,95,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:33Z,2.2,outputs/TX/grid/TMAX_P95_2D
TMAX_P95_2D__w15,TMAX_P95_2D,7,5,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,95,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:36Z,2.1,outputs/TX/grid/TMAX_P95_2D
TMAX_P95_2D__month,TMAX_P95_2D,7,5,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,95,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:15Z,2.0,outputs/TX/grid/TMAX_P95_2D
TMAX_P95_2D__month_pm7,TMAX_P95_2D,7,5,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,95,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:33Z,1.8,outputs/TX/grid/TMAX_P95_2D
TMIN_P95_2D__w05,TMIN_P95_2D,8,6,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,95,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:32Z,2.5,outputs/TX/grid/TMIN_P95_2D
TMIN_P95_2D__w15,TMIN_P95_2D,8,6,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,95,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:36Z,2.3,outputs/TX/grid/TMIN_P95_2D
TMIN_P95_2D__month,TMIN_P95_2D,8,6,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,95,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:56Z,2.2,outputs/TX/grid/TMIN_P95_2D
TMIN_P95_2D__month_pm7,TMIN_P95_2D,8,6,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,95,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:25Z,3.8,outputs/TX/grid/TMIN_P95_2D
MHI_P90_2D__w05,MHI_P90_2D,9,7,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,2,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:51:10Z,3.8,outputs/TX/grid/MHI_P90_2D
MHI_P90_2D__w15,MHI_P90_2D,9,7,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,2,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:51:54Z,3.7,outputs/TX/grid/MHI_P90_2D
MHI_P90_2D__month,MHI_P90_2D,9,7,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,2,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:50:24Z,3.4,outputs/TX/grid/MHI_P90_2D
MHI_P90_2D__month_pm7,MHI_P90_2D,9,7,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,2,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:50:32Z,2.9,outputs/TX/grid/MHI_P90_2D
TMAX_P90_3D__w05,TMAX_P90_3D,10,8,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,90,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:31Z,2.4,outputs/TX/grid/TMAX_P90_3D
TMAX_P90_3D__w15,TMAX_P90_3D,10,8,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,90,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:34Z,2.5,outputs/TX/grid/TMAX_P90_3D
TMAX_P90_3D__month,TMAX_P90_3D,10,8,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,90,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:13Z,2.1,outputs/TX/grid/TMAX_P90_3D
TMAX_P90_3D__month_pm7,TMAX_P90_3D,10,8,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,90,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:31Z,2.0,outputs/TX/grid/TMAX_P90_3D
TMIN_P90_3D__w05,TMIN_P90_3D,11,9,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,90,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:29Z,2.5,outputs/TX/grid/TMIN_P90_3D
TMIN_P90_3D__w15,TMIN_P90_3D,11,9,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,90,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:34Z,2.6,outputs/TX/grid/TMIN_P90_3D
TMIN_P90_3D__month,TMIN_P90_3D,11,9,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,90,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:54Z,2.4,outputs/TX/grid/TMIN_P90_3D
TMIN_P90_3D__month_pm7,TMIN_P90_3D,11,9,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,90,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:21Z,4.3,outputs/TX/grid/TMIN_P90_3D
TMAX_P85_3D__w05,TMAX_P85_3D,12,10,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,85,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:25Z,3.2,outputs/TX/grid/TMAX_P85_3D
TMAX_P85_3D__w15,TMAX_P85_3D,12,10,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,85,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:28Z,3.1,outputs/TX/grid/TMAX_P85_3D
TMAX_P85_3D__month,TMAX_P85_3D,12,10,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,85,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:07Z,3.0,outputs/TX/grid/TMAX_P85_3D
TMAX_P85_3D__month_pm7,TMAX_P85_3D,12,10,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,85,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:26Z,2.9,outputs/TX/grid/TMAX_P85_3D
TMIN_P85_3D__w05,TMIN_P85_3D,13,11,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,85,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:23Z,3.9,outputs/TX/grid/TMIN_P85_3D
TMIN_P85_3D__w15,TMIN_P85_3D,13,11,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,85,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:28Z,3.5,outputs/TX/grid/TMIN_P85_3D
TMIN_P85_3D__month,TMIN_P85_3D,13,11,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,85,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:48Z,3.3,outputs/TX/grid/TMIN_P85_3D
TMIN_P85_3D__month_pm7,TMIN_P85_3D,13,11,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,85,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:10Z,4.2,outputs/TX/grid/TMIN_P85_3D
TMAX_P95_3D__w05,TMAX_P95_3D,14,12,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmax,TMAX,tmax_f,daily maximum temperature,95,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:53:35Z,1.5,outputs/TX/grid/TMAX_P95_3D
TMAX_P95_3D__w15,TMAX_P95_3D,14,12,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmax,TMAX,tmax_f,daily maximum temperature,95,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:37Z,1.5,outputs/TX/grid/TMAX_P95_3D
TMAX_P95_3D__month,TMAX_P95_3D,14,12,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmax,TMAX,tmax_f,daily maximum temperature,95,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:16Z,1.3,outputs/TX/grid/TMAX_P95_3D
TMAX_P95_3D__month_pm7,TMAX_P95_3D,14,12,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmax,TMAX,tmax_f,daily maximum temperature,95,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:52:34Z,1.2,outputs/TX/grid/TMAX_P95_3D
TMIN_P95_3D__w05,TMIN_P95_3D,15,13,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",tmin,TMIN,tmin_f,daily minimum temperature,95,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:56:33Z,1.6,outputs/TX/grid/TMIN_P95_3D
TMIN_P95_3D__w15,TMIN_P95_3D,15,13,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",tmin,TMIN,tmin_f,daily minimum temperature,95,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:57:38Z,1.6,outputs/TX/grid/TMIN_P95_3D
TMIN_P95_3D__month,TMIN_P95_3D,15,13,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",tmin,TMIN,tmin_f,daily minimum temperature,95,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:54:58Z,1.6,outputs/TX/grid/TMIN_P95_3D
TMIN_P95_3D__month_pm7,TMIN_P95_3D,15,13,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar month +/- 7 days",tmin,TMIN,tmin_f,daily minimum temperature,95,>,3,month_pm7,month_collar,calendar month +/- 7 days,,7.0,4,walk_forward_1979_to_Yminus1,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,done,2026-07-29T20:55:27Z,2.3,outputs/TX/grid/TMIN_P95_3D
MHI_P90_3D__w05,MHI_P90_3D,16,14,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 5-day window (+/-2 days)",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,3,w05,centered,centered 5-day window (+/-2 days),2.0,,1,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:51:12Z,2.4,outputs/TX/grid/MHI_P90_3D
MHI_P90_3D__w15,MHI_P90_3D,16,14,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: centered 15-day window (+/-7 days)",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,3,w15,centered,centered 15-day window (+/-7 days),7.0,,2,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:51:56Z,2.5,outputs/TX/grid/MHI_P90_3D
MHI_P90_3D__month,MHI_P90_3D,16,14,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1; threshold window: calendar-month bucket",mhi,MHI,derived_tmean_meanrh_hi_f,daily-mean heat index,90,>,3,month,month,calendar-month bucket,,,3,walk_forward_1979_to_Yminus1,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,done,2026-07-29T20:50:26Z,2.1,outputs/TX/grid/MHI_P90_3D
